epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.452,2.52172,1.28649,1.5751,0.99372,0.98807,0.9942,0.59223,1.48832,0.73488,1.03163,0.0701277,0.00331915,0.00331915
2,92.9095,1.42051,0.66659,1.0781,0.99839,0.99059,0.99498,0.68995,1.067,0.5717,0.92344,0.0400618,0.00658662,0.00658662
3,136.958,1.36499,0.61635,1.02381,0.99885,0.99072,0.99491,0.66285,1.21248,0.55959,0.93145,0.00992994,0.0097881,0.0097881
4,180.042,1.25845,0.56342,0.98074,0.99806,0.99261,0.99491,0.67375,1.06505,0.5084,0.88608,0.009703,0.009703,0.009703
5,222.841,1.1439,0.50953,0.9405,0.99862,0.99296,0.99494,0.6799,1.1151,0.49745,0.88789,0.009604,0.009604,0.009604
6,266.753,1.08452,0.4812,0.92681,0.99893,0.99426,0.99498,0.73377,0.94181,0.43348,0.85827,0.009505,0.009505,0.009505
7,310.598,1.03771,0.45726,0.90995,0.99794,0.99339,0.99468,0.78673,0.80403,0.40685,0.83906,0.009406,0.009406,0.009406
8,354.704,0.99451,0.43919,0.90173,0.99908,0.99366,0.99498,0.72617,1.02008,0.43876,0.86807,0.009307,0.009307,0.009307
9,397,0.9702,0.42566,0.89346,0.9978,0.99447,0.99498,0.81084,0.73509,0.37081,0.82678,0.009208,0.009208,0.009208
10,439.035,0.94047,0.41254,0.88347,0.99874,0.99462,0.99498,0.8211,0.73161,0.37305,0.8188,0.009109,0.009109,0.009109
11,480.823,0.91913,0.40407,0.87901,0.99776,0.99332,0.99499,0.79596,0.79566,0.39568,0.8335,0.00901,0.00901,0.00901
12,522.807,0.90542,0.39611,0.87692,0.99965,0.99494,0.99499,0.81142,0.71786,0.36833,0.81361,0.008911,0.008911,0.008911
13,565.266,0.89443,0.38898,0.87185,0.99927,0.99511,0.99495,0.84485,0.6326,0.33938,0.80589,0.008812,0.008812,0.008812
14,608.629,0.872,0.38029,0.86798,0.99551,0.99131,0.99474,0.84992,0.62653,0.32862,0.80401,0.008713,0.008713,0.008713
15,651.23,0.85791,0.37639,0.8651,0.99936,0.99497,0.99491,0.85873,0.60281,0.32208,0.80238,0.008614,0.008614,0.008614
16,693.685,0.85343,0.37223,0.86324,0.99931,0.99488,0.99497,0.85415,0.61608,0.32517,0.80412,0.008515,0.008515,0.008515
17,736.189,0.83802,0.36427,0.85939,0.99874,0.99444,0.99488,0.86378,0.59292,0.32028,0.79962,0.008416,0.008416,0.008416
18,778.595,0.83229,0.36135,0.85758,0.99835,0.99403,0.9949,0.87024,0.5606,0.30909,0.79636,0.008317,0.008317,0.008317
19,820.587,0.82446,0.35857,0.85736,0.99853,0.99467,0.99492,0.85366,0.62577,0.31519,0.80255,0.008218,0.008218,0.008218
20,862.214,0.81388,0.35472,0.8543,0.99939,0.99508,0.99496,0.87283,0.55622,0.29695,0.79283,0.008119,0.008119,0.008119
21,905.796,0.80726,0.35094,0.85234,0.99893,0.99426,0.99493,0.87316,0.55885,0.30474,0.79371,0.00802,0.00802,0.00802
22,949.374,0.80324,0.34849,0.8511,0.9986,0.99426,0.9949,0.86692,0.56058,0.29741,0.79652,0.007921,0.007921,0.007921
23,991.958,0.79378,0.34393,0.84876,0.99712,0.99308,0.99481,0.87828,0.52488,0.28652,0.79072,0.007822,0.007822,0.007822
24,1034.68,0.78929,0.34162,0.84948,0.99868,0.99458,0.99486,0.86906,0.55815,0.29835,0.7915,0.007723,0.007723,0.007723
25,1077.48,0.78507,0.34015,0.84611,0.99727,0.99275,0.99494,0.87977,0.54028,0.29292,0.79219,0.007624,0.007624,0.007624
26,1120.23,0.77674,0.33739,0.84529,0.99826,0.99441,0.99497,0.88716,0.52393,0.28252,0.78976,0.007525,0.007525,0.007525
27,1162.28,0.76877,0.3331,0.84466,0.99635,0.99198,0.99486,0.88504,0.51659,0.27748,0.78823,0.007426,0.007426,0.007426
28,1204.19,0.7742,0.33323,0.84495,0.99846,0.99371,0.99496,0.89047,0.51769,0.28209,0.7862,0.007327,0.007327,0.007327
29,1246.6,0.75873,0.32951,0.84238,0.99863,0.99558,0.99498,0.90007,0.47363,0.26623,0.78354,0.007228,0.007228,0.007228
30,1288.55,0.75299,0.326,0.84076,0.99931,0.99546,0.99494,0.90166,0.46501,0.26411,0.78112,0.007129,0.007129,0.007129
31,1330.66,0.74765,0.3237,0.83906,0.9959,0.99125,0.99488,0.89491,0.48656,0.26922,0.78235,0.00703,0.00703,0.00703
32,1373.06,0.75121,0.32481,0.84131,0.99689,0.99216,0.9949,0.89482,0.49479,0.26966,0.78385,0.006931,0.006931,0.006931
33,1415.15,0.74785,0.32273,0.84004,0.99589,0.99193,0.99495,0.89568,0.49467,0.26558,0.78469,0.006832,0.006832,0.006832
34,1457.49,0.73813,0.31995,0.83842,0.99827,0.99489,0.99498,0.89049,0.50509,0.26668,0.78615,0.006733,0.006733,0.006733
35,1499.72,0.73701,0.31867,0.83721,0.99835,0.99404,0.99497,0.89735,0.47773,0.25831,0.78283,0.006634,0.006634,0.006634
36,1541.68,0.73368,0.31776,0.8368,0.99758,0.99522,0.99495,0.8931,0.50621,0.27022,0.78299,0.006535,0.006535,0.006535
37,1583.55,0.72852,0.31562,0.83668,0.99665,0.99334,0.99492,0.90046,0.47445,0.25841,0.78227,0.006436,0.006436,0.006436
38,1625.7,0.73099,0.31473,0.83483,0.99648,0.99298,0.99488,0.90473,0.46747,0.25723,0.77999,0.006337,0.006337,0.006337
39,1668.64,0.72344,0.31326,0.83605,0.99831,0.99559,0.99497,0.90226,0.47165,0.25403,0.78148,0.006238,0.006238,0.006238
40,1711.96,0.71173,0.30904,0.83204,0.99658,0.99531,0.99495,0.90385,0.4566,0.24904,0.7795,0.006139,0.006139,0.006139
41,1754.36,0.71327,0.30921,0.8339,0.99854,0.99739,0.99496,0.87938,0.53018,0.26529,0.78734,0.00604,0.00604,0.00604
42,1795.81,0.70668,0.30719,0.832,0.99574,0.99261,0.99491,0.90736,0.46016,0.24958,0.77888,0.005941,0.005941,0.005941
43,1838.1,0.7079,0.30567,0.83251,0.99776,0.99663,0.99497,0.89648,0.49316,0.25943,0.78415,0.005842,0.005842,0.005842
44,1880.25,0.70571,0.30521,0.83051,0.99593,0.99201,0.99491,0.90754,0.45344,0.2458,0.77742,0.005743,0.005743,0.005743
