epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4732,0.47464,0.26311,0.79221,0.99998,0.99986,0.995,0.90577,0.40804,0.24009,0.78019,0.0865,0.0015,0.0015
2,263.526,0.30762,0.22984,0.76867,1,0.99991,0.995,0.92114,0.3378,0.23204,0.76919,0.0720693,0.00306931,0.00306931
3,318.496,0.29225,0.23898,0.76568,1,0.99994,0.995,0.93704,0.3128,0.23868,0.76485,0.0576069,0.00460694,0.00460694
4,375.435,0.29925,0.23279,0.76471,1,0.99995,0.995,0.93032,0.33381,0.24273,0.76534,0.0431129,0.00611289,0.00611289
5,430.466,0.32222,0.23086,0.76557,1,0.99995,0.995,0.93333,0.30262,0.22403,0.76344,0.0285872,0.00758716,0.00758716
6,484.509,0.32328,0.22937,0.76707,1,0.99994,0.995,0.92865,0.31093,0.2263,0.76792,0.0140297,0.00902975,0.00902975
7,540.557,0.31497,0.22441,0.76996,1,0.99994,0.995,0.93532,0.27869,0.21736,0.77014,0.009406,0.009406,0.009406
8,595.135,0.30244,0.21702,0.77373,1,0.99994,0.995,0.93826,0.26024,0.20743,0.772,0.009307,0.009307,0.009307
9,649.865,0.28812,0.21549,0.77408,1,0.99995,0.995,0.94092,0.25776,0.23623,0.76863,0.009208,0.009208,0.009208
10,704.52,0.28199,0.25744,0.7708,1,0.99997,0.995,0.94789,0.26138,0.25302,0.7671,0.009109,0.009109,0.009109
11,760.333,0.27383,0.26185,0.77125,1,0.99998,0.995,0.9396,0.24336,0.25009,0.76687,0.00901,0.00901,0.00901
12,814.738,0.2716,0.29267,0.77077,1,0.99999,0.995,0.94335,0.23521,0.28,0.76403,0.008911,0.008911,0.008911
13,869.918,0.25793,0.3069,0.76941,1,0.99998,0.995,0.94962,0.22291,0.27174,0.76381,0.008812,0.008812,0.008812
14,925.542,0.25595,0.30076,0.76912,0.99998,1,0.995,0.94882,0.22236,0.27413,0.76392,0.008713,0.008713,0.008713
15,981.204,0.24508,0.29154,0.76919,0.99998,1,0.995,0.94795,0.22233,0.26668,0.76415,0.008614,0.008614,0.008614
16,1037.13,0.23799,0.28235,0.76873,0.99999,1,0.995,0.94988,0.21896,0.26407,0.76487,0.008515,0.008515,0.008515
17,1091.03,0.23273,0.27734,0.76862,0.99999,1,0.995,0.94937,0.2155,0.26191,0.76521,0.008416,0.008416,0.008416
18,1146.05,0.2369,0.27736,0.76872,0.99999,1,0.995,0.9495,0.21873,0.26178,0.76431,0.008317,0.008317,0.008317
19,1200.83,0.22593,0.26945,0.76823,0.99999,1,0.995,0.94994,0.21727,0.25737,0.76512,0.008218,0.008218,0.008218
20,1256.99,0.22549,0.26699,0.76864,0.99999,1,0.995,0.95028,0.22016,0.26049,0.76491,0.008119,0.008119,0.008119
21,1311.92,0.21889,0.26325,0.76807,0.99999,1,0.995,0.9501,0.21882,0.25773,0.76479,0.00802,0.00802,0.00802
22,1367.44,0.22008,0.26138,0.7678,0.99999,1,0.995,0.95026,0.2146,0.25321,0.76499,0.007921,0.007921,0.007921
23,1421.73,0.21556,0.25757,0.76756,0.99999,1,0.995,0.95043,0.2113,0.25057,0.76496,0.007822,0.007822,0.007822
24,1477.97,0.21119,0.25518,0.76739,0.99999,1,0.995,0.95059,0.20794,0.24912,0.76502,0.007723,0.007723,0.007723
25,1532.95,0.20955,0.25179,0.76705,0.99999,1,0.995,0.95125,0.20367,0.24492,0.76519,0.007624,0.007624,0.007624
26,1588.8,0.20952,0.25133,0.76647,0.99999,1,0.995,0.95085,0.20119,0.24017,0.76497,0.007525,0.007525,0.007525
27,1644.21,0.20414,0.24708,0.76671,0.99999,1,0.995,0.95054,0.19609,0.23702,0.76503,0.007426,0.007426,0.007426
28,1699.07,0.20447,0.2475,0.76645,0.99999,1,0.995,0.95189,0.19048,0.23154,0.76519,0.007327,0.007327,0.007327
29,1754.84,0.19974,0.24496,0.76668,0.99999,1,0.995,0.95174,0.1825,0.22481,0.76527,0.007228,0.007228,0.007228
30,1808.59,0.1957,0.24082,0.76594,0.99999,1,0.995,0.95229,0.18476,0.22445,0.76484,0.007129,0.007129,0.007129
31,1863.57,0.19578,0.24072,0.76593,0.99999,1,0.995,0.95294,0.17881,0.2205,0.7648,0.00703,0.00703,0.00703
32,1918.36,0.19286,0.2375,0.76575,0.99999,1,0.995,0.95252,0.17579,0.21506,0.76471,0.006931,0.006931,0.006931
33,1974.09,0.18963,0.2345,0.76522,0.99999,1,0.995,0.95223,0.17725,0.21791,0.76475,0.006832,0.006832,0.006832
34,2029.6,0.19035,0.23368,0.76524,0.99999,1,0.995,0.9516,0.17635,0.21584,0.76455,0.006733,0.006733,0.006733
35,2085.65,0.19081,0.23357,0.76516,0.99999,1,0.995,0.94901,0.179,0.21368,0.76459,0.006634,0.006634,0.006634
36,2141.45,0.19164,0.23208,0.76534,0.99999,1,0.995,0.95151,0.1805,0.2207,0.76398,0.006535,0.006535,0.006535
37,2196.84,0.18811,0.23621,0.76462,0.99999,1,0.995,0.9511,0.17713,0.22172,0.76403,0.006436,0.006436,0.006436
38,2252.82,0.19183,0.24177,0.76471,0.99999,1,0.995,0.95365,0.17562,0.21834,0.76363,0.006337,0.006337,0.006337
39,2308.45,0.18579,0.23346,0.76446,1,1,0.995,0.9534,0.17494,0.2162,0.76385,0.006238,0.006238,0.006238
40,2363.98,0.18397,0.22971,0.76385,1,1,0.995,0.95358,0.17295,0.21226,0.76354,0.006139,0.006139,0.006139
41,2420.15,0.18391,0.22826,0.76373,0.99999,1,0.995,0.9531,0.17345,0.21294,0.76324,0.00604,0.00604,0.00604
42,2476.31,0.17987,0.22556,0.76349,1,1,0.995,0.95264,0.17205,0.21254,0.76333,0.005941,0.005941,0.005941
43,2532.35,0.17938,0.22352,0.7638,1,1,0.995,0.95272,0.17214,0.21102,0.76334,0.005842,0.005842,0.005842
44,2588.17,0.17737,0.22029,0.76367,1,1,0.995,0.95282,0.17147,0.21116,0.76312,0.005743,0.005743,0.005743
45,2643.68,0.17867,0.22186,0.7634,1,1,0.995,0.95305,0.17146,0.21169,0.76304,0.005644,0.005644,0.005644
46,2699.42,0.17518,0.21777,0.76338,0.99999,1,0.995,0.95268,0.17216,0.2108,0.76284,0.005545,0.005545,0.005545
47,2754.9,0.17621,0.21842,0.76301,0.99999,1,0.995,0.95322,0.16905,0.2052,0.7629,0.005446,0.005446,0.005446
48,2811.73,0.17114,0.21449,0.7629,0.99999,1,0.995,0.9535,0.16798,0.20564,0.7626,0.005347,0.005347,0.005347
49,2867.22,0.17168,0.21379,0.76261,1,1,0.995,0.95364,0.16512,0.202,0.76247,0.005248,0.005248,0.005248
50,2923.2,0.16916,0.21358,0.76257,1,1,0.995,0.95392,0.16476,0.20176,0.76246,0.005149,0.005149,0.005149
51,2979,0.16901,0.21049,0.76254,1,1,0.995,0.95372,0.16052,0.19522,0.76263,0.00505,0.00505,0.00505
52,3035.06,0.16969,0.21019,0.76265,1,1,0.995,0.95361,0.15945,0.1942,0.7625,0.004951,0.004951,0.004951
53,3091.15,0.16606,0.2059,0.76245,1,1,0.995,0.95394,0.16254,0.19735,0.762,0.004852,0.004852,0.004852
54,3148.31,0.16333,0.20264,0.7621,1,1,0.995,0.95408,0.16048,0.19504,0.76211,0.004753,0.004753,0.004753
55,3204.87,0.16342,0.20467,0.76201,0.99999,1,0.995,0.9538,0.16413,0.20236,0.76182,0.004654,0.004654,0.004654
56,3259.46,0.16418,0.20895,0.76155,0.99999,1,0.995,0.95439,0.159,0.19663,0.76178,0.004555,0.004555,0.004555
57,3316.98,0.16459,0.20898,0.76134,0.99999,1,0.995,0.95388,0.155,0.18813,0.76183,0.004456,0.004456,0.004456
58,3373.15,0.16368,0.2073,0.76119,0.99999,1,0.995,0.95466,0.1523,0.18435,0.76183,0.004357,0.004357,0.004357
59,3429.56,0.16336,0.20665,0.76112,0.99999,1,0.995,0.95458,0.14949,0.17902,0.76202,0.004258,0.004258,0.004258
