epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.945,0.30095,0.2261,0.77044,0.99644,0.99535,0.99495,0.91281,0.33827,0.22869,0.77317,0.0706383,0.00326241,0.00326241
2,280.938,0.31268,0.26352,0.76754,0.99521,0.99469,0.99493,0.90729,0.37155,0.29357,0.7721,0.040573,0.00653045,0.00653045
3,392.606,0.36318,0.28967,0.77293,0.99509,0.99357,0.99484,0.90567,0.31546,0.2729,0.77525,0.0104417,0.00973248,0.00973248
4,504.556,0.34896,0.27776,0.77936,0.99822,0.99611,0.99493,0.90641,0.29324,0.24242,0.77968,0.009703,0.009703,0.009703
5,617.178,0.31475,0.30165,0.77384,0.99476,0.99366,0.99493,0.92236,0.28272,0.28572,0.77548,0.009604,0.009604,0.009604
6,732.383,0.28907,0.29798,0.77535,0.99796,0.99722,0.99496,0.91235,0.31944,0.29156,0.77284,0.009505,0.009505,0.009505
7,847.598,0.2743,0.29084,0.7731,0.99726,0.99686,0.99494,0.92587,0.26167,0.29922,0.76979,0.009406,0.009406,0.009406
8,961.262,0.25234,0.28846,0.77178,0.9948,0.9945,0.99475,0.93485,0.25308,0.28608,0.77071,0.009307,0.009307,0.009307
9,1076.5,0.25003,0.27675,0.77201,0.99515,0.99476,0.99482,0.92056,0.29608,0.29426,0.77394,0.009208,0.009208,0.009208
10,1190.96,0.25697,0.26978,0.77228,0.99508,0.99412,0.99488,0.92823,0.29588,0.28191,0.77151,0.009109,0.009109,0.009109
11,1304.17,0.24925,0.26008,0.77162,0.99644,0.99557,0.99491,0.93146,0.22389,0.23275,0.77392,0.00901,0.00901,0.00901
12,1418.14,0.23824,0.27262,0.77048,0.9959,0.99538,0.99464,0.93351,0.2468,0.27525,0.77109,0.008911,0.008911,0.008911
13,1533.18,0.2308,0.26489,0.77029,0.99494,0.99454,0.99464,0.93432,0.22722,0.25468,0.77286,0.008812,0.008812,0.008812
14,1648.42,0.22362,0.26314,0.76946,0.99498,0.99438,0.99469,0.93612,0.21127,0.24379,0.77121,0.008713,0.008713,0.008713
15,1766.19,0.22101,0.2574,0.76909,0.99574,0.99517,0.99481,0.93649,0.20675,0.2382,0.77101,0.008614,0.008614,0.008614
16,1884.78,0.22119,0.25861,0.76815,0.99553,0.99508,0.99399,0.93357,0.23241,0.25527,0.77217,0.008515,0.008515,0.008515
